PERIODO,ESTU_DEPTO_RESIDE,ESTU_PRGM_ACADEMICO,ESTU_HORASSEMANATRABAJA,ESTU_GENERO,ESTU_PAGOMATRICULAPROPIO,FAMI_EDUCACIONPADRE,FAMI_TIENEAUTOMOVIL,FAMI_TIENELAVADORA,FAMI_ESTRATOVIVIENDA,FAMI_TIENECOMPUTADOR,FAMI_TIENEINTERNET,FAMI_EDUCACIONMADRE,MOD_RAZONA_CUANTITAT_PUNT,MOD_COMUNI_ESCRITA_PUNT,MOD_LECTURA_CRITICA_PUNT,MOD_INGLES_PUNT,MOD_COMPETEN_CIUDADA_PUNT,AGE,PUNT_GLOBAL,RENDIMIENTO
2020,BOGOTÁ,INGENIERIA EN TELEMATICA,Más de 30 horas,F,Si,Educación profesional completa,Si,Si,Estrato 2,Si,Si,Educación profesional completa,165,164.0,157,180.0,142,27.0,161.6,Medio
2021,BOGOTÁ,INGENIERIA EN TELEMATICA,Más de 30 horas,F,Si,Secundaria (Bachillerato) completa,No,Si,Estrato 2,Si,Si,Secundaria (Bachillerato) incompleta,170,300.0,185,187.0,170,26.0,202.4,Alto
2021,BOGOTÁ,ADMINISTRACION DEPORTIVA,Entre 11 y 20 horas,M,Si,Técnica o tecnológica completa,Si,Si,Estrato 2,Si,Si,Técnica o tecnológica completa,156,141.0,158,131.0,173,22.0,151.8,Medio
2021,BOGOTÁ,LICENCIATURA EN QUIMICA,Más de 30 horas,F,Si,Técnica o tecnológica completa,No,Si,Estrato 3,Si,Si,Técnica o tecnológica completa,155,125.0,171,145.0,166,26.0,152.4,Medio
2021,BOGOTÁ,LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN INGLES,Entre 11 y 20 horas,M,No,Técnica o tecnológica completa,Si,Si,Estrato 2,Si,Si,Técnica o tecnológica completa,165,200.0,189,205.0,188,24.0,189.4,Alto
2021,BOGOTÁ,ARTES ESCENICAS,Entre 11 y 20 horas,F,Si,Secundaria (Bachillerato) completa,Si,Si,Estrato 2,Si,Si,Postgrado,98,124.0,142,169.0,161,23.0,138.8,Medio
2018,BOGOTÁ,INGENIERIA INDUSTRIAL,Entre 11 y 20 horas,F,No,Técnica o tecnológica incompleta,No,Si,Estrato 2,Si,Si,Primaria completa,187,150.0,169,173.0,198,23.0,175.4,Medio
2018,BOGOTÁ,LICENCIATURA EN BIOLOGIA,Entre 21 y 30 horas,M,Si,Secundaria (Bachillerato) incompleta,No,No,Estrato 3,Si,Si,Primaria incompleta,193,89.0,185,166.0,172,25.0,161.0,Medio
2018,BOGOTÁ,INGENIERIA TOPOGRAFICA,Entre 11 y 20 horas,M,No,Educación profesional incompleta,No,Si,Estrato 2,Si,Si,Técnica o tecnológica incompleta,200,153.0,197,211.0,208,23.0,193.8,Alto
2018,BOGOTÁ,INGENIERIA ELECTRONICA,Entre 21 y 30 horas,M,Si,Secundaria (Bachillerato) completa,Si,Si,Estrato 3,Si,Si,Educación profesional completa,200,133.0,176,174.0,157,22.0,168.0,Medio
2018,BOGOTÁ,LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN EDUCACION ARTISTICA,Más de 30 horas,M,No,Primaria incompleta,No,Si,Estrato 2,Si,Si,Primaria incompleta,148,143.0,145,105.0,128,23.0,133.8,Medio
2018,BOGOTÁ,INGENIERIA DE SISTEMAS,0,M,No,Secundaria (Bachillerato) completa,No,Si,Estrato 3,Si,Si,Secundaria (Bachillerato) completa,186,135.0,164,218.0,163,23.0,173.2,Medio
2019,BOGOTÁ,LICENCIATURA EN BIOLOGIA,Entre 11 y 20 horas,M,Si,Educación profesional incompleta,No,Si,Estrato 2,Si,Si,Técnica o tecnológica completa,190,113.0,189,187.0,195,23.0,174.8,Medio
2019,BOGOTÁ,INGENIERIA MECANICA,Más de 30 horas,M,Si,Técnica o tecnológica completa,No,Si,Estrato 3,Si,Si,Educación profesional incompleta,196,105.0,167,141.0,158,25.0,153.4,Medio
2019,BOGOTÁ,ARTES PLASTICAS Y VISUALES,Menos de 10 horas,F,Si,Secundaria (Bachillerato) incompleta,No,No,Estrato 2,Si,Si,Secundaria (Bachillerato) completa,162,139.0,174,184.0,164,29.0,164.6,Medio
2019,BOGOTÁ,INGENIERIA FORESTAL,Más de 30 horas,M,Si,Educación profesional completa,Si,Si,Estrato 3,Si,Si,Educación profesional completa,199,169.0,181,183.0,156,25.0,177.6,Medio
2019,BOGOTÁ,ARTES ESCENICAS,Entre 11 y 20 horas,M,Si,Educación profesional incompleta,No,Si,Estrato 3,Si,Si,Técnica o tecnológica completa,90,169.0,118,194.0,88,24.0,131.8,Medio
2019,BOGOTÁ,ADMINISTRACION AMBIENTAL,0,M,No,Primaria completa,No,Si,Estrato 1,Si,Si,Primaria incompleta,151,152.0,172,176.0,172,22.0,164.6,Medio
2019,BOGOTÁ,LICENCIATURA EN FISICA,0,F,Si,No Aplica,No,Si,Estrato 2,Si,Si,Secundaria (Bachillerato) incompleta,156,167.0,167,165.0,161,24.0,163.2,Medio
2019,BOGOTÁ,INGENIERIA CATASTRAL Y GEODESIA,Entre 11 y 20 horas,M,Si,Primaria incompleta,No,Si,Estrato 3,Si,Si,Secundaria (Bachillerato) incompleta,190,162.0,172,139.0,173,27.0,167.2,Medio
2019,BOGOTÁ,INGENIERIA TOPOGRAFICA,Entre 11 y 20 horas,F,No,Secundaria (Bachillerato) completa,No,Si,Estrato 3,Si,Si,Técnica o tecnológica completa,196,163.0,195,170.0,209,22.0,186.6,Alto
2020,BOGOTÁ,LICENCIATURA EN BIOLOGIA,Menos de 10 horas,F,No,Primaria completa,Si,Si,Estrato 2,Si,Si,Secundaria (Bachillerato) completa,138,131.0,154,147.0,144,24.0,142.8,Medio
2020,CUNDINAMARCA,LICENCIATURA EN QUIMICA,Entre 11 y 20 horas,M,Si,Secundaria (Bachillerato) completa,No,Si,Estrato 2,Si,Si,Secundaria (Bachillerato) incompleta,157,134.0,140,164.0,150,27.0,149.0,Medio
2020,BOGOTÁ,INGENIERIA CATASTRAL Y GEODESIA,Entre 11 y 20 horas,M,Si,Secundaria (Bachillerato) completa,No,Si,Estrato 2,Si,Si,Secundaria (Bachillerato) completa,231,135.0,233,300.0,209,23.0,221.6,Alto
2020,BOGOTÁ,LICENCIATURA EN BIOLOGIA,Entre 11 y 20 horas,M,Si,Secundaria (Bachillerato) completa,No,Si,Estrato 2,Si,Si,Técnica o tecnológica incompleta,164,189.0,151,152.0,162,25.0,163.6,Medio
2020,BOGOTÁ,INGENIERÍA SANITARIA,Entre 21 y 30 horas,F,No,Postgrado,Si,Si,Estrato 3,Si,Si,Técnica o tecnológica completa,167,179.0,176,167.0,165,21.0,170.8,Medio
2020,BOGOTÁ,INGENIERIA MECANICA,Más de 30 horas,M,Si,Secundaria (Bachillerato) completa,No,Si,Estrato 2,Si,Si,Secundaria (Bachillerato) completa,209,163.0,200,143.0,201,28.0,183.2,Alto
2020,BOGOTÁ,INGENIERIA ELECTRONICA,Entre 21 y 30 horas,M,Si,Educación profesional completa,No,Si,Estrato 3,Si,Si,Técnica o tecnológica completa,223,99.0,194,171.0,168,23.0,171.0,Medio
2020,BOGOTÁ,ADMINISTRACION AMBIENTAL,Más de 30 horas,M,Si,Secundaria (Bachillerato) incompleta,No,Si,Estrato 2,Si,Si,Secundaria (Bachillerato) completa,187,85.0,186,161.0,186,24.0,161.0,Medio
2021,CUNDINAMARCA,INGENIERIA AMBIENTAL,0,F,No,Secundaria (Bachillerato) completa,No,Si,Estrato 2,Si,Si,Secundaria (Bachillerato) completa,216,164.0,192,161.0,174,29.0,181.4,Alto
2021,BOGOTÁ,ADMINISTRACION AMBIENTAL,Entre 21 y 30 horas,M,No,Secundaria (Bachillerato) completa,No,Si,Estrato 2,Si,Si,Secundaria (Bachillerato) completa,151,108.0,166,150.0,199,22.0,154.8,Medio
2021,BOGOTÁ,INGENIERIA CATASTRAL Y GEODESIA,Menos de 10 horas,F,Si,Educación profesional incompleta,No,Si,Estrato 1,No,Si,Secundaria (Bachillerato) incompleta,183,153.0,179,164.0,130,23.0,161.8,Medio
2021,BOGOTÁ,INGENIERIA CIVIL,Entre 11 y 20 horas,M,Si,Primaria completa,No,Si,Estrato 2,Si,Si,Secundaria (Bachillerato) completa,184,129.0,179,190.0,163,29.0,169.0,Medio
2018,BOGOTÁ,ADMINISTRACION DEPORTIVA,Entre 11 y 20 horas,M,Si,Técnica o tecnológica completa,Si,Si,Estrato 3,Si,Si,Secundaria (Bachillerato) completa,186,178.0,195,186.0,175,22.0,184.0,Alto
2018,BOGOTÁ,INGENIERIA DE PRODUCCION,Más de 30 horas,M,Si,Secundaria (Bachillerato) completa,No,Si,Estrato 2,Si,Si,Secundaria (Bachillerato) incompleta,216,167.0,199,176.0,204,23.0,192.4,Alto
2018,BOGOTÁ,INGENIERIA INDUSTRIAL,Entre 11 y 20 horas,M,Si,Secundaria (Bachillerato) incompleta,No,Si,Estrato 3,Si,Si,Técnica o tecnológica incompleta,224,175.0,189,188.0,201,23.0,195.4,Alto
2018,BOGOTÁ,INGENIERIA EN TELEMATICA,Más de 30 horas,M,Si,Técnica o tecnológica completa,Si,Si,Estrato 3,Si,Si,Educación profesional incompleta,178,159.0,184,185.0,214,26.0,184.0,Alto
2018,BOGOTÁ,INGENIERIA EN  TELECOMUNICACIONES,Más de 30 horas,F,Si,Primaria incompleta,No,Si,Estrato 2,Si,Si,Primaria incompleta,170,180.0,174,173.0,162,29.0,171.8,Medio
2018,BOGOTÁ,LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN HUMANIDADES Y LENGUA CASTELLANA,Menos de 10 horas,M,Si,Primaria completa,Si,Si,Estrato 2,No,No,Secundaria (Bachillerato) incompleta,173,201.0,210,108.0,110,22.0,160.4,Medio
2019,BOGOTÁ,LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN EDUCACION ARTISTICA,Menos de 10 horas,F,Si,Postgrado,Si,Si,Estrato 3,Si,Si,Secundaria (Bachillerato) completa,156,147.0,164,163.0,174,23.0,160.8,Medio
2019,CUNDINAMARCA,LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN HUMANIDADES Y LENGUA CASTELLANA,Entre 11 y 20 horas,F,No,Ninguno,No,No,Estrato 2,Si,Si,Ninguno,113,178.0,195,165.0,179,26.0,166.0,Medio
2019,BOGOTÁ,INGENIERIA CIVIL,Entre 11 y 20 horas,M,Si,Primaria completa,No,Si,Estrato 2,Si,Si,Secundaria (Bachillerato) completa,178,145.0,192,162.0,170,28.0,169.4,Medio
2019,BOGOTÁ,INGENIERIA MECANICA,Más de 30 horas,M,Si,Educación profesional incompleta,Si,Si,Estrato 3,Si,Si,Educación profesional incompleta,190,109.0,121,190.0,173,24.0,156.6,Medio
2019,BOGOTÁ,INGENIERIA CIVIL,Más de 30 horas,F,Si,Técnica o tecnológica incompleta,Si,Si,Estrato 3,Si,Si,Secundaria (Bachillerato) completa,181,181.0,159,190.0,157,26.0,173.6,Medio
2020,BOGOTÁ,INGENIERIA AMBIENTAL,Entre 21 y 30 horas,F,Si,Secundaria (Bachillerato) completa,No,Si,Estrato 3,Si,Si,Técnica o tecnológica incompleta,173,132.0,179,163.0,179,23.0,165.2,Medio
2020,BOGOTÁ,INGENIERIA MECANICA,Más de 30 horas,M,Si,Primaria incompleta,No,No,Estrato 3,Si,Si,Primaria completa,179,204.0,157,139.0,160,26.0,167.8,Medio
2020,BOGOTÁ,INGENIERIA FORESTAL,Entre 11 y 20 horas,M,Si,Educación profesional incompleta,No,Si,Estrato 1,Si,Si,Secundaria (Bachillerato) completa,152,162.0,134,169.0,128,24.0,149.0,Medio
2020,BOGOTÁ,INGENIERIA CATASTRAL Y GEODESIA,Entre 21 y 30 horas,M,Si,No sabe,No,Si,Estrato 3,Si,Si,Secundaria (Bachillerato) completa,188,135.0,150,175.0,174,24.0,164.4,Medio
2020,BOGOTÁ,INGENIERÍA SANITARIA,Entre 11 y 20 horas,F,No,Secundaria (Bachillerato) completa,No,Si,Estrato 2,Si,Si,Secundaria (Bachillerato) completa,163,209.0,144,172.0,169,21.0,171.4,Medio
2020,BOGOTÁ,ARTES PLASTICAS Y VISUALES,Entre 11 y 20 horas,M,No,Primaria incompleta,No,Si,Estrato 3,Si,Si,Primaria incompleta,130,152.0,188,155.0,195,24.0,164.0,Medio
2020,BOGOTÁ,INGENIERIA EN TELEMATICA,Más de 30 horas,M,Si,Postgrado,No,Si,Estrato 3,Si,Si,Secundaria (Bachillerato) completa,153,178.0,162,170.0,164,26.0,165.4,Medio
2021,BOGOTÁ,INGENIERIA DE PRODUCCION,Más de 30 horas,M,Si,Secundaria (Bachillerato) completa,No,Si,Estrato 1,Si,Si,Secundaria (Bachillerato) completa,202,148.0,180,134.0,166,24.0,166.0,Medio
2021,BOGOTÁ,ADMINISTRACION AMBIENTAL,Más de 30 horas,F,Si,Secundaria (Bachillerato) incompleta,No,Si,Estrato 4,Si,Si,Secundaria (Bachillerato) completa,157,127.0,100,150.0,163,29.0,139.4,Medio
2021,BOGOTÁ,LICENCIATURA EN FISICA,Menos de 10 horas,F,No,Educación profesional incompleta,Si,Si,Estrato 3,Si,Si,Técnica o tecnológica completa,152,192.0,146,158.0,143,23.0,158.2,Medio
2018,BOGOTÁ,MATEMATICAS,Menos de 10 horas,F,Si,Secundaria (Bachillerato) completa,No,Si,Estrato 2,Si,No,Educación profesional completa,210,209.0,192,208.0,184,23.0,200.6,Alto
